modelo,accuracy,precision,recall,f1_score,auc_roc
Random Forest,0.8968944099378882,0.8884066085100999,0.8968944099378882,0.8858593808241457,0.8380778675821948
XGBoost,0.8956521739130435,0.8866329781024332,0.8956521739130435,0.8859179939733104,0.8423455642181056
KNN,0.8683229813664596,0.8492414214438447,0.8683229813664596,0.8490008101539293,0.7424659657153756
Regressão Logística,0.808695652173913,0.8585188082048727,0.808695652173913,0.8259214180709887,0.8323558162267839
Árvore de Decisão,0.808695652173913,0.8479435957696827,0.808695652173913,0.8233954451345756,0.7684595760913621
