modelo,accuracy,precision,recall,f1_score,auc_roc
Random Forest,0.9649122807017544,0.966759002770083,0.9649122807017544,0.9645092460881936,0.9970238095238095
XGBoost,0.956140350877193,0.9568690958164642,0.956140350877193,0.9557756825927252,0.996362433862434
KNN,0.9298245614035088,0.9330859199280251,0.9298245614035088,0.9285290148448043,0.9753637566137567
Regressão Logística,0.8947368421052632,0.8987750706689999,0.8947368421052632,0.8956254272043745,0.9616402116402116
Árvore de Decisão,0.8771929824561403,0.878879015721121,0.8771929824561403,0.8777561328805144,0.873015873015873
