modelo,accuracy,precision,recall,f1_score,auc_roc
KNN,0.9649122807017544,0.9651849217638692,0.9649122807017544,0.9647247085304307,0.9791666666666666
Regressão Logística,0.956140350877193,0.9580981439105009,0.956140350877193,0.9564299597121931,0.9953703703703703
XGBoost,0.956140350877193,0.9568690958164642,0.956140350877193,0.9557756825927252,0.9940476190476191
Random Forest,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9940476190476191
Árvore de Decisão,0.9298245614035088,0.9310663021189336,0.9298245614035088,0.9301463616460083,0.9295634920634921
